,unique_values,counts
0,BACH MOV 5,47
1,BARTOK MOV 4,34
2,BARTOK MOV 2,31
3,BACH MOV 3,20
4,YSAE,18
5,BACH MOV 4,13
6,BACH MOV 1,12
7,BACH MOV 2,8
8,BACH MOV 5 ,1
